aardvark|anteater,placental
back-to-back|consecutive,succeeding
backdrop|background,scene,scenery
backhanded|backhand,indirect
backhoe|digger,excavator,shovel
backpacking|carry,packing
backrest|back,support
backroom|facility,installation
backseat|inferiority,seat
backslapper|enthusiast,partisan
backslide|lapse,slip
backslider|offender,recidivist,wrongdoer
backspace|key,type,typewrite
backwardness|retardation,slowness,stupidity
backwater|region,water
backwoods|boondocks,country,hinterland
backwoodsman|frontiersman,pioneer
backyard|grounds,yard
bacteria|bacterium,microorganism
bactericidal|antiseptic,disinfectant,germicidal
bacteriologic|bacteriological,medicine
bacteriological|bacteriologic,medicine
bacterium|bacteria,microorganism
badinage|banter,give-and-take,raillery
badlands|ground,land,soil
bagel|bun,roll
baggy|loose,sloppy
bagpipe|pipe,wind
bailable|eligible,permissive
bailiff|functionary,official
bake|broil,cook,heat
baker|merchandiser,merchant
balcony|construction,structure
baleen|horn,whalebone
balladeer|crooner,singer,vocalist
ballet|choreography,music
ballistic|flight,trajectory
balminess|clemency,mildness,softness
balustrade|banister,barrier,handrail
bandit|brigand,thief
bandmaster|conductor,director
bandsman|instrumentalist,musician,player
bandstand|platform,stand
banister|balustrade,barrier,handrail
bankable|acceptable,profitable
bankbook|passbook,record
banknote|bill,greenback,note
banns|announcement,promulgation
bantamweight|boxer,pugilist,wrestler
baptistery|basin,font
baptize|call,christen,name
barbarize|alter,change,modify
barbel|feeler,tentacle
barberry|bush,shrub
barbershop|shop,store
barcarole|song,vocal
bare-assed|raw,unclothed
barefacedly|shamelessly,unashamedly
barefoot|barefooted,unshod
barefooted|barefoot,unshod
barley|cereal,grain
barnacle|crustacean,goose
baronage|aristocracy,nobility,peerage
baroness|noblewoman,peeress
baronet|aristocrat,patrician
baronetcy|barony,rank,title
baroque|fancy,idiom
barrister|attorney,lawyer
baseball|ball,ballgame
basely|meanly,scurvily
baseness|sordidness,unworthiness
bashful|backward,timid
bashfully|shyly,timidly
bashfulness|abashment,embarrassment
basically|essentially,fundamentally
basil|herb,saint,theologian
basketball|ball,hoops
basketry|craft,trade
basset|appear,hound
bassist|instrumentalist,musician,player
basso|bass,singer,vocalist
bassoonist|instrumentalist,musician,player
bastardization|debasement,declaration,degradation
bastardy|illegitimacy,position,status
bathhouse|building,edifice,house
bathtub|bath,tub,vessel
bathyscaph|bathyscaphe,submersible
bathyscaphe|bathyscaph,submersible
battalion|multitude,pack,plurality
battered|beat-up,worn
battle-ax|battle-axe,wife
battle-axe|battle-ax,wife
battledore|badminton,racket,racquet
battlefront|front,line
bayonet|knife,stab
beach|formation,land
beadle|biologist,functionary,official
beaked|billed,duckbill
beaker|cup,jar
beanstalk|stalk,stem
bearable|endurable,supportable,tolerable
bearded|bewhiskered,unshaven,whiskered
beardless|hairless,shaven
beatable|conquerable,vincible
beater|implement,worker
beatnik|beat,nonconformist
bebop|bop,dance,jazz
becalm|calm,stabilize,steady
beck|gesture,motion
bedaub|besmear,cover
bedazzle|blind,daze,dazzle
bedevilment|harassment,molestation,torment
bedridden|ill,sick
bedroll|bedclothes,bedding
bedroom|chamber,room
bedsore|ulcer,ulceration
beebread|ambrosia,composition
beech|tree,wood
beekeeper|apiarist,farmer,husbandman
beeline|itinerary,path,route
beery|drunk,inebriated,intoxicated
befogged|befuddled,confused
beforehand|advance,ahead,early
behead|decapitate,kill
behoove|fit,meet
beige|chromatic,ecru
being|existence,organism,state
belabor|beat,criticize,knock
belated|late,tardy
belatedly|late,tardily
belfry|campanile,room
believably|credibly,plausibly,probably
bell-bottoms|pant,trouser
belladonna|atropine,herb
belle|girl,miss
bellicose|aggressive,combative
bellicosity|aggressiveness,belligerence,pugnacity
bellybutton|navel,point,umbilicus
bellyful|overabundance,overmuch,superabundance
belongings|holding,possession,property
beluga|dolphin,sturgeon
